candidate_id,rank,score,reasoning
CAND_0017667,61,0.1984,"Developed strong software engineering skills through experience in frontend and full-stack development across fintech and software environments. Technical exposure to Apache Beam, Snowflake, QLoRA, CNNs, image classification, and Agile development demonstrates familiarity with modern data processing and machine learning concepts. Experience building web applications and working across different layers of the software stack provides a solid foundation in scalable application development. The profile also reflects an interest in expanding into AI and machine learning through continuous learning and hands-on exploration of emerging technologies."
CAND_0091603,62,0.1943,"Built strong experience in project coordination, operations, and stakeholder management across multiple business functions and enterprise environments. Exposure to technologies such as JavaScript, CSS, Hadoop, Azure, and Agile methodologies demonstrates familiarity with modern software and cloud ecosystems. Experience working across engineering, project management, and operations roles reflects adaptability and the ability to collaborate in technology-driven organizations. The profile also shows an active interest in exploring AI tools and emerging technologies to enhance productivity and business workflows."
CAND_0084113,63,0.1916,"Strong experience in mobile development, cloud engineering, and backend systems across IT services and software environments. Demonstrates familiarity with modern software tools and platforms including AWS, CI/CD, React, Apache Beam, Hadoop, dbt, BentoML, and feature engineering workflows. Experience working across DevOps and software engineering roles reflects solid capability in building and maintaining production systems. The profile also shows continuous self-driven exploration of AI technologies through experimentation with LLMs, RAG systems, and API-based tools."
CAND_0034683,64,0.1879,"Strong experience in mobile development, backend engineering, and DevOps across multiple enterprise and product environments. Technical exposure includes Go, Flask, React, Next.js, TypeScript, Kubeflow, Salesforce CRM, forecasting, and prompt engineering, showing familiarity with both software engineering and basic machine learning concepts. Experience across IT services and software companies demonstrates the ability to work on scalable systems, APIs, and cross-functional development workflows. The profile also reflects ongoing self-learning in AI/ML through experimentation with LLMs, RAG systems, and modern AI APIs."
CAND_0003639,65,0.1867,"Strong experience in software engineering across mobile development, DevOps, and cloud infrastructure roles in enterprise and fintech environments. Technical exposure includes PostgreSQL, Redis, Kubernetes, Apache Flink, FastAPI, Go, React, ETL pipelines, and TensorFlow, indicating familiarity with backend systems, distributed computing, and basic machine learning frameworks. Experience across multiple IT services and product companies demonstrates strong ability to build and maintain scalable systems. The profile also shows self-driven exploration of AI/ML technologies through hands-on experimentation with LLMs, RAG systems, and modern AI APIs."
CAND_0015023,66,0.1784,"Strong experience across operations, HR, marketing, and general management roles in enterprise environments, with demonstrated ability to lead teams, manage stakeholders, and deliver business outcomes. Exposure to technical tools such as Kubernetes, MLOps, Apache Beam, Go, Rust, and GraphQL suggests some familiarity with modern engineering ecosystems, although not in a primary engineering capacity. Experience across multiple functional domains highlights adaptability and cross-functional collaboration skills. The profile also shows curiosity and self-driven exploration of AI tools such as ChatGPT and other LLM-based systems for productivity and workflow enhancement."
CAND_0048454,67,0.1742,"Strong experience in software engineering across backend, mobile, and cloud-based systems in enterprise and fintech environments. Demonstrates solid expertise in REST APIs, microservices, Apache Flink, Snowflake, Vue.js, Scrum, and system design, indicating strong capability in building scalable production systems. The profile reflects a well-rounded software engineering background with exposure to both backend and frontend development. Also shows self-driven interest in AI/ML through experimentation with LLMs, RAG systems, and API-based AI tools, along with small personal projects in retrieval-based systems."
CAND_0047309,68,0.1629,"Experience in project management with strong exposure to Agile execution, stakeholder coordination, and cross-functional delivery in enterprise environments. Familiarity with tools such as Django, React, Kubernetes, PostgreSQL, Azure, and Databricks demonstrates solid exposure to modern software and cloud ecosystems. Background across engineering and management roles shows adaptability in working with both technical and business teams. Hands-on use of data platforms and cloud infrastructure indicates awareness of scalable system environments and data-driven workflows."
CAND_0072556,69,0.1584,"Experience in project management with exposure to cross-functional delivery, stakeholder coordination, and product execution across enterprise environments. Familiarity with technologies such as Kubernetes, microservices, JavaScript, TypeScript, Java, Snowflake, and Weights & Biases indicates exposure to modern software and data-driven ecosystems. Background across IT services and software roles demonstrates adaptability in working within structured engineering organizations. Experience working with analytics-oriented tools and systems reflects awareness of data-centric workflows used in modern technology teams."
CAND_0021842,70,0.1517,"Experience across content writing, operations, and business-facing roles with strong exposure to stakeholder communication, process management, and cross-functional coordination in enterprise environments. Familiarity with tools such as Salesforce CRM, SAP, Snowflake, HTML, Java, and gRPC indicates exposure to modern enterprise software and data systems. Background across multiple domains including operations, support, and engineering roles demonstrates adaptability and ability to work in structured organizational setups. Experience with analytics-oriented and CRM systems reflects exposure to data-driven business workflows commonly used in large-scale enterprises."
CAND_0028916,71,0.1498,"Experience in project management with strong exposure to cross-functional coordination, KPI ownership, and business execution across enterprise environments. Familiarity with tools such as dbt, SQL, Databricks, Go, Rust, and microservices indicates exposure to modern data engineering and backend development ecosystems. Background across multiple functional domains including operations, accounting, design, and engineering reflects adaptability and versatility in enterprise settings. Experience working with data and analytics-oriented tools suggests awareness of structured, data-driven workflows used in modern"
CAND_0087977,72,0.1468,"Experience in project management with consistent involvement in cross-functional delivery, stakeholder coordination, and execution across enterprise environments. Technical exposure to Spring Boot, Java, Node.js, Kubernetes, SQL, Airflow, and data pipelines reflects familiarity with backend systems and data-driven application workflows. Background spanning IT services, marketing, and engineering roles demonstrates adaptability across both technical and business domains. Experience working with structured engineering and data infrastructure environments indicates exposure to scalable software delivery practices."
CAND_0024037,73,0.1423,"Experience across engineering and project execution roles with exposure to cross-functional delivery and stakeholder coordination in enterprise environments. Familiarity with tools such as Snowflake, dbt, Terraform, Docker, Salesforce CRM, Figma, Vue.js, and Tailwind reflects exposure to modern cloud, data, and frontend ecosystems. Background spanning engineering, project management, and finance-related roles demonstrates adaptability across technical and business functions. Experience working with structured data and cloud-based tools indicates familiarity with data-driven software environments and enterprise-scale workflows."
CAND_0069198,74,0.1418,"Experience in project management with strong exposure to cross-functional execution, stakeholder coordination, and delivery across enterprise environments. Familiarity with technologies such as Apache Flink, microservices, GraphQL, TypeScript, Flask, Java, Snowflake, and Webpack indicates exposure to modern backend, data, and frontend ecosystems. Background across project management, business analysis, HR, and engineering roles demonstrates adaptability across multiple enterprise functions. Experience working with structured workflows and data-oriented systems reflects familiarity with scalable, data-driven software environments."
CAND_0064968,75,0.1396,"Experience in mobile and backend development with strong exposure to building scalable applications across fintech and enterprise environments. Technical background includes GCP, Airflow, Kafka, Terraform, SQL, microservices, and frontend fundamentals such as HTML and CSS, indicating familiarity with modern distributed systems and full-stack engineering workflows. Experience across multiple mobile and backend engineering roles reflects strong software delivery capability in production environments. Exposure to data and cloud infrastructure tools demonstrates awareness of systems commonly used in large-scale data-driven platforms."
CAND_0000242,76,0.1374,"Experience in project management and cross-functional delivery with strong involvement in coordinating teams, managing execution workflows, and driving outcomes across enterprise environments. Technical exposure to Django, Redis, Kubernetes, Node.js, Terraform, Apache Flink, Spark, and REST APIs indicates familiarity with modern backend systems, distributed computing, and cloud infrastructure. Background across project management, content creation, and design roles demonstrates adaptability across both technical and business-facing functions. Exposure to data processing and streaming tools reflects awareness of scalable, data-driven system architectures used in modern platforms."
CAND_0007098,77,0.1339,"Experience in project management with strong involvement in cross-functional execution, team coordination, and KPI-driven delivery across enterprise environments. Technical exposure to Spark, Hadoop, dbt, Redis, React, Tailwind, CSS, and Salesforce CRM reflects familiarity with modern data engineering tools and frontend/backend ecosystems. Background across project management, HR, engineering, and operations roles demonstrates adaptability in working across diverse business and technical functions. Exposure to data processing and analytics tools indicates awareness of scalable, data-driven workflows used in enterprise systems."
CAND_0011342,78,0.1317,"Experience in project management with strong exposure to cross-functional coordination, stakeholder management, and execution across enterprise environments. Technical familiarity with Kubernetes, Go, Rust, PostgreSQL, Webpack, CI/CD, and cloud-related workflows indicates exposure to modern software engineering and deployment ecosystems. Background across project management, HR, engineering, and content-related roles demonstrates adaptability across both technical and business functions. Experience working with structured engineering processes and backend systems reflects awareness of scalable, production-oriented software environments."
CAND_0099885,79,0.1315,"Experience in project management with strong involvement in cross-functional execution, stakeholder coordination, and delivery ownership across enterprise environments. Technical exposure to Kubernetes, Apache Beam, Flask, React, Java, SAP, and related enterprise tools indicates familiarity with modern software engineering and application development ecosystems. Background across project management, business analysis, content creation, and customer support demonstrates adaptability across both technical and non-technical roles. Exposure to cloud and data processing frameworks reflects awareness of scalable, data-driven system environments used in modern organizations."
CAND_0037095,80,0.1302,"Experience in project management with strong exposure to cross-functional coordination, stakeholder management, and execution across enterprise environments. Technical familiarity with Kafka, Apache Flink, Airflow, MongoDB, GraphQL, and TypeScript indicates exposure to modern data engineering and backend system ecosystems. Background across project management, operations, sales, and content roles demonstrates adaptability across multiple enterprise functions. Experience working with structured workflows and data-driven platforms reflects awareness of scalable software and data infrastructure environments used in modern organizations."
CAND_0066898,81,0.1289,"Experience in project management with strong exposure to cross-functional execution, stakeholder coordination, and delivery across enterprise environments. Technical familiarity with Apache Flink, gRPC, REST APIs, data pipelines, and feature engineering indicates exposure to modern data engineering and backend system workflows. Background across project management, mechanical engineering, sales, and accounting demonstrates adaptability across multiple business and operational domains. Experience working with structured data systems and workflow-driven environments reflects awareness of scalable enterprise software and data infrastructure practices."
CAND_0019729,82,0.1274,"Experience in project management with strong exposure to cross-functional leadership, stakeholder coordination, and execution across enterprise environments. Technical familiarity with Apache Beam, BigQuery, GraphQL, HTML, and TTS indicates exposure to modern data processing, backend systems, and web technologies. Background across project management, HR, operations, engineering, and design roles demonstrates adaptability across multiple enterprise functions. Experience working in structured, data-driven environments reflects awareness of scalable workflows used in modern software and analytics systems."
CAND_0057143,83,0.126,"Experience in project management with strong exposure to cross-functional leadership, stakeholder management, and execution across enterprise environments over a long professional span. Technical familiarity with Snowflake, PostgreSQL, Go, JavaScript, Kubernetes, and Excel indicates exposure to modern data systems, backend technologies, and cloud infrastructure environments. Background across project management, marketing, HR, sales, and engineering roles demonstrates adaptability across diverse enterprise functions. Exposure to structured data platforms and cloud-based systems reflects awareness of scalable, data-driven workflows used in modern technology organizations."
CAND_0042601,84,0.1246,"Experience in project management with strong exposure to cross-functional execution, stakeholder coordination, and delivery across enterprise environments. Technical familiarity with Apache Beam, Spark, Azure, MongoDB, ETL pipelines, and TypeScript indicates exposure to modern data engineering and cloud-based application ecosystems. Background across project management and business analysis roles demonstrates adaptability across both technical and business functions. Experience working with structured data workflows and analytics systems reflects awareness of scalable, data-driven enterprise environments."
CAND_0087366,85,0.1234,"Experience in operations management with strong exposure to cross-functional execution, stakeholder coordination, and large-scale organizational delivery across enterprise environments. Technical familiarity with Apache Beam, Terraform, Go, Java, MongoDB, PostgreSQL, Webpack, and Agile indicates exposure to modern software engineering, cloud infrastructure, and data systems. Background across operations, sales, engineering, and content roles demonstrates adaptability across multiple enterprise functions. Experience working with structured workflows and data-driven systems reflects awareness of scalable enterprise technology environments."
CAND_0068625,86,0.1219,"Experience in project management with strong exposure to cross-functional execution, stakeholder coordination, and business delivery across enterprise environments. Technical familiarity with MongoDB, REST APIs, CI/CD, Next.js, HTML, SEO, and CI/CD indicates exposure to modern web development and backend system ecosystems. Background across project management, marketing, sales, accounting, and engineering roles demonstrates adaptability across diverse enterprise functions. Experience working with structured workflows and data systems reflects awareness of scalable, technology-driven organizational environments."
CAND_0064487,87,0.1206,"Experience in marketing management with strong exposure to cross-functional execution, stakeholder coordination, and business delivery across enterprise environments. Technical familiarity with Snowflake, PostgreSQL, Docker, microservices, TypeScript, SAP, and speech recognition indicates exposure to modern data systems, backend services, and cloud-based architectures. Background across marketing, HR, sales, civil engineering, and operations roles demonstrates adaptability across diverse enterprise functions. Experience working with structured business workflows and data systems reflects awareness of scalable, technology-driven organizational environments."
CAND_0070439,88,0.1193,"Experience in project management with strong exposure to cross-functional execution, stakeholder coordination, and delivery across enterprise environments. Technical familiarity with Hadoop, Spark, Kafka, SQL, GraphQL, React, Django, Go, and BentoML indicates exposure to modern data engineering, backend systems, and ML-adjacent tooling. Background across project management, accounting, support, and IT services demonstrates adaptability across multiple enterprise functions. Experience working with structured data workflows and distributed systems reflects awareness of scalable, data-driven technology environments."
CAND_0039984,89,0.118,"Experience in operations management with strong exposure to cross-functional execution, stakeholder coordination, and delivery across enterprise environments. Technical familiarity with Angular, Flask, Apache Flink, Terraform, SQL, and microservices indicates exposure to modern software development frameworks, backend systems, and data processing pipelines. Background across operations management, mechanical engineering, business analysis, and design roles demonstrates adaptability across multiple enterprise functions. Experience working with structured workflows and data-driven systems reflects awareness of scalable, technology-enabled organizational environments."
CAND_0053057,90,0.1167,"Experience in project management with strong exposure to cross-functional execution, stakeholder coordination, and delivery across enterprise environments. Technical familiarity with Rust, Go, Terraform, Azure, ETL, data pipelines, and Salesforce CRM indicates exposure to modern backend systems, cloud infrastructure, and data engineering workflows. Background across project management, engineering, accounting, and enterprise roles demonstrates adaptability across multiple organizational functions. Experience working with structured workflows and data-driven systems reflects awareness of scalable, technology-enabled enterprise environments."
CAND_0097708,91,0.1154,"Experience in project management with strong exposure to cross-functional execution, stakeholder coordination, and delivery across enterprise environments. Technical familiarity with Spark, Kubernetes, PostgreSQL, GraphQL, Angular, Webpack, and Spark indicates exposure to modern data processing frameworks, backend systems, and frontend development ecosystems. Background across project management, sales, engineering, and operations roles demonstrates adaptability across multiple enterprise functions. Experience working with structured workflows and data-driven systems reflects awareness of scalable, technology-enabled enterprise environments."
CAND_0055980,92,0.1142,"Experience in operations management with strong exposure to cross-functional execution, stakeholder coordination, and delivery across enterprise environments. Technical familiarity with Kafka, Apache Beam, MongoDB, Vue.js, React, HTML, Rust, and Salesforce CRM indicates exposure to modern data processing systems, backend technologies, and frontend frameworks. Background across operations management, HR, engineering, business analysis, and support roles demonstrates adaptability across multiple enterprise functions. Experience working with structured workflows and data-driven systems reflects awareness of scalable, technology-enabled enterprise environments."
CAND_0032757,93,0.1129,"Experience in project management with strong exposure to cross-functional execution, stakeholder coordination, and delivery across enterprise environments. Technical familiarity with Kubernetes, Docker, BigQuery, Vue.js, Go, HTML, and basic data engineering tools indicates exposure to modern cloud infrastructure, backend systems, and frontend frameworks. Background across project management, business analysis, and content roles demonstrates adaptability across multiple enterprise functions. Experience working with structured workflows and data-driven systems reflects awareness of scalable, technology-enabled enterprise environments."
CAND_0066483,94,0.1117,"Experience in project management with strong exposure to cross-functional execution, stakeholder coordination, and delivery across enterprise environments. Technical familiarity with gRPC, ETL, Flask, TypeScript, and speech recognition indicates exposure to backend systems, data workflows, and modern application development frameworks. Background across project management, operations, business analysis, and design roles demonstrates adaptability across multiple enterprise functions. Experience working with structured workflows and data-driven systems reflects awareness of scalable, technology-enabled enterprise"
CAND_0061437,95,0.1105,"Experience in project management with strong exposure to cross-functional execution, stakeholder coordination, and delivery across enterprise environments. Technical familiarity with ETL, Apache Beam, PostgreSQL, Docker, MLflow, gRPC, and Salesforce CRM indicates exposure to modern data engineering workflows, backend systems, and ML-related tooling. Background across project management, business analysis, HR, and IT services demonstrates adaptability across multiple enterprise functions. Experience working with structured workflows and data systems reflects awareness of scalable, technology-enabled enterprise environments."
CAND_0070241,96,0.1093,"Experience in project management with strong exposure to cross-functional execution, stakeholder coordination, and delivery across enterprise environments. Technical familiarity with Apache Beam, BigQuery, Spark, Java, Redis, HTML, CI/CD, and CI/CD workflows indicates exposure to modern data processing systems, backend engineering, and cloud-based application environments. Background across project management and content-focused roles demonstrates adaptability across both technical and business functions. Experience working with structured workflows and data-driven systems reflects awareness of scalable, technology-enabled enterprise environments."
CAND_0004751,97,0.1081,"Experience in project management with strong exposure to cross-functional execution, stakeholder coordination, and delivery across enterprise environments. Technical familiarity with GCP, Spark, Databricks, Docker, Node.js, Angular, GraphQL, and CSS indicates exposure to modern cloud platforms, data processing systems, and full-stack application development environments. Background across project management, HR, and design roles demonstrates adaptability across both technical and business functions. Experience working with structured workflows and data-driven systems reflects awareness of scalable, technology-enabled enterprise environments."
CAND_0045318,98,0.1069,"Experience in marketing management with strong exposure to cross-functional execution, stakeholder coordination, and delivery across enterprise environments. Technical familiarity with CI/CD, Django, Kafka, Apache Beam, BentoML, Snowflake, PostgreSQL, Redis, and FastAPI indicates exposure to modern backend systems, data engineering pipelines, and ML-serving frameworks. Background across marketing, project management, accounting, and engineering roles demonstrates adaptability across multiple enterprise functions. Experience working with structured workflows and data-driven systems reflects awareness of scalable, technology-enabled enterprise environments."
CAND_0006120,99,0.1057,"Experience in project management with strong exposure to cross-functional execution, stakeholder coordination, and delivery across enterprise environments. Technical familiarity with Kafka, Airflow, Databricks, GCP, Terraform, Redis, and JavaScript indicates exposure to modern data engineering systems, cloud infrastructure, and distributed data workflows. Background across project management, sales, graphic design, and IT services demonstrates adaptability across multiple enterprise functions. Experience working with structured workflows and data-driven systems reflects awareness of scalable, technology-enabled enterprise environments."
CAND_0079408,100,0.1045,"Experience in operations management with strong exposure to cross-functional execution, stakeholder coordination, and delivery across enterprise environments. Technical familiarity with Apache Flink, REST APIs, Node.js, Java, TypeScript, and Webpack indicates exposure to modern backend systems, distributed processing frameworks, and application development ecosystems. Background across operations management, civil engineering, project management, and business analysis demonstrates adaptability across multiple enterprise functions. Experience working with structured workflows and data-driven systems reflects awareness of scalable, technology-enabled enterprise environments."
